video_id,title,published_at,duration,viewCount,likeCount,commentCount,engagement_total,tags
_1-FrxVW12g,#7UJUH - OFFICIAL CINEMA TRAILER,2018-10-07 04:00:00,PT1M30S,580101,1338,245,1583,"grand,brilliance,siti saleha,marsha milan,aeril zafrel,johan asari,raja mukhriz,pekin ibrahim,riz amin,cristina suzanne,munafik,hantu kak limah,syamsul yusof,tv3,tv9,filem seram,horror,thriller,langsuir,paskal,filem melayu,sebelum iblis menjemput,syafiq kyle,hanna delisha,hainur"
bBr9Ipjz2DA,#7UJUH | TEASER #1,2018-09-14 13:15:01,PT25S,9692,39,16,55,"grand,brilliance,horror,seram,thriller,langsuir,munafik,syamsul,iblis,hantu kak limah,filem,tv3,drama,paskal,polis evo,astro shaw"
HoOHux7c110,Game Session bersama pelakon #PulangTheMovie,2018-08-09 10:30:01,PT5M6S,618,12,0,12,"pulang the movie,pulang movie,hantu kak limah,mission impossible,remy ishak,puteri aishah,erwin dawson,azrel ismail,juliana evans,kabir bhatia,pulang,dayang nurfaizah,layarlah kembali,aubrey suwito,filem wajib tonton 2018,kapal equanimity,1MDB,najib razak,Rosmah Mansur,RM 1.1 Billion,titanic,film kapal tenggelam van der wijck,Che Thom,Omar,Upin Ipin,Alvin Wong,Lum,Munafik 2,Thom Cruise"
O-I5TvhagsA,DI SEBALIK TABIR FILEM PULANG | THE MAKING OF PULANG (FULL),2018-07-31 07:13:41,PT44M50S,179618,1085,150,1235,"pulang,pulangthemovie,kabir bhatia,behind the scene,filem,malaysia,epic love story,remy ishak,puteri aishah,cgi,filemwajibtonton2018,avatar the movie,filem pulang,azrel ismail,erwin dawson,filem epik,drama tv3,the making of pulang,drama nur,nur kasih,titanic movie,kapal pecah"
xOCxxTGJb4k,PULANG | OFFICIAL TRAILER #2 (30 SECS),2018-07-26 10:29:22,PT30S,628659,52,8,60,"grand,brilliance,primeworks,pulang,remy ishak,puteri aishah,kabir bhatia,tv3malaysia,tv3,astro,astro awani,astro gempak,box office,trailer,movie trailer,tv9,zul ariffin,neelofa,munafik,hantu kak limah,maya karin,syamsul yusof"
w9Y73RCO-qE,"PELANCARAN NOVEL PULANG  (27 APRIL 2018 @ PWTC, KL)",2018-07-21 01:49:42,PT2M52S,819,7,2,9,"grand,brilliance,pulang,kabir bhatia,remy ishak,puteri aishah,azrel ismail,lily haslina nasir,karyaseni,novel,baca,tv3,tv9,filem,movie"
DwLypmokYTQ,PULANG - DI SEBALIK TABIR (BAHAGIAN 5) | THE MAKING OF (PART 5),2018-07-21 01:08:40,PT5M3S,14773,84,10,94,"remy ishak,kabir bhatia,pulang the movie,pulang,layarlah kembali,aubrey suwito,dayang nurfaizah,kiki challange,keke challange,siti sarah,tik tok,puteri aishah,drama tv3,neelofa,azrel ismail,cgi,titanic,filem epik,avatar,lord of the ring,film box office,wajib tonton 2018,mission impossible,hantu kak limah,munafik 2"
chphnkPp3K0,PULANG - DI SEBALIK TABIR (BAHAGIAN 4) | THE MAKING OF (PART 4),2018-07-04 10:51:51,PT3M47S,10485,52,5,57,"adam rayqal mati dalam peti ais,remy ishak,puteri aishah,kabir bhatia,filem 2018,filem wajib tonton 2018,titanic,TENGGELAMNYA KAPAL VAN DER WIJCK,azrel ismail,pulanglah,pulang the movie,pulang,tv3,tv9,gsc,tgv,lfs,filem malaysia,film malaysia,CGI film,avatar,drama nur,farah nabilah,nabilah razali"
eiFWYHLz5ok,PULANG | OFFICIAL TRAILER (HD) - DI PAWAGAM 26 JULAI 2018,2018-06-27 05:56:56,PT2M10S,1029877,2749,620,3369,"grand,brilliance,primeworks,remy ishak,kabir bhatia,pulang,puteri aishah,azrel ismail,filem melayu,box office,trailer,treler,tv3,tv9,media prima,syafiq kyle,ameera,nur kasih,nur,akasia,mhi,melodi,hlive,gempak,meletop,neelofa"
VnT8UbAZ3JU,PULANG - DI SEBALIK TABIR (BAHAGIAN 3) | THE MAKING OF (PART 3),2018-06-25 11:54:25,PT6M23S,20885,123,17,140,"remy ishak,kabir bhatia,azrel ismail,film box office,gsc,pulang the movie,tgv,incredibles 2,jurassic world: fallen kindom,ocean's 8,kaala,titanic,kapal tengelam,puteri aishah seksi,filem wajib tayang 2018,filem 2018,film 2018,raya haji,bikin filem,bogel,anak rogol,pulanglah mengundi"
TBDHL6CJgIU,PULANG - DI SEBALIK TABIR (BAHAGIAN 2) | THE MAKING OF (PART 2),2018-06-20 11:45:00,PT4M15S,45711,207,18,225,"filem,box office movie,jurassic world,dram tv3,tiamo sweetheart,zul ariffin,neelofa peluk zul ariffin,Tenggelamnya Kapal Van Der Wijck,titanic,CGI movie,filem wajib tonton 2018,ditelan ular sawa,cerita raya 2018,pulang the movie,remy ishak,kabir bhatia,puteri aishah,the making of,pulang"
7dINJ_qiv1c,PULANG - DI SEBALIK TABIR (BAHAGIAN 1) | THE MAKING OF (PART 1),2018-06-18 11:45:01,PT4M23S,51744,274,27,301,"film,the making of,titanic,avatar,filem,wajib tonton,ntv7malaysia,tonton,cinema malaysia,nur drama,syafiq kyle,nur kasih,CGI Movie,adam nur kasih,TENGGELAMNYA KAPAL VAN DER WIJCK,tgv,box office film,mbo,finas malaysia,gsc,langsuir,jurassic world,deadpool,kaala,hantu kak limah,munafik,datuk sri vida,selamat hari raya,cik b,rosmah mansor,pulang,pulang the movie,kabir bhatia,remy ishak,puteri aishah seksi,azrel ismail,schawal,tv3"
DQ2upjEOyB0,PULANG | TEASER TRAILER #3,2018-03-28 05:14:28,PT32S,37199,103,8,111,"grand,brilliance,GSC,MBO,LFS,Cinema,Wayang,Movie,Film,Panggung,PulangTheMovie,Teaser,Trailer,Pulang,Primeworks Studios,Primeworks Distribution,Teaser Trailer,Media Prima,Sri Pentas,Remy Ishak,Puteri Aishah,Pakcik Hot,Pakcik Othman,Bawang,Makcik Bawang,Pakcik Bawang,Kabir Bhatia,Erwin Dawson,Syazuwan Hassan,Juliana Evans,Azrel Ismail,Alvin Chong,Pantai Penarik,Terengganu,Grand Brilliance,Nelayan,Cinta,love,First Love,Cinta Pandang Pertama"
ZN0OIIaszxo,PULANG | TEASER TRAILER #2,2018-02-28 04:00:00,PT31S,37207,88,15,103,"grand,brilliance,filem,remy ishak,kabir bhatia,box office,movie,cinema,puteri aishah,azrel ismail,erwin dawson,primeworks,juliana evans,grand brilliance,media prima,tv3,pawagam,gsc,mbo,tgv,malaysia,malay movie,drama melayu,malay drama,akasia,teampakcik,pulang,pulang the movie,dayang nurfaizah,layarlah kembali,primeworks studios,tv9,nur kasih,bisik pada langit,kekasih paksa rela"
PjOwsZt_z_4,PULANG | TEASER TRAILER #1,2018-02-05 07:14:40,PT32S,82950,252,26,278,"grand,brilliance,remy ishak,kabir bhatia,filem melayu,box office,malay movie,movie,team pakcik,puteri aishah,azrel ismail,drama melayu,erwin dawson,juliana evans,primeworks,primeworks studios,media prima,tv3,tv9,kekasih paksa rela"
9Jb1u8G5nD4,KAU TAKDIRKU: BULETIN UTAMA,2017-09-18 08:20:10,PT1M36S,6889,33,0,33,"grand,brilliance,Grandbrilliance,Kautakdirku,Kisahcintayangsatuduniakakhirat,Tv3,BuletinUtama,Filemmelayu,Filemtragis,Filemcintamelayu,Engkaumilikku,DatinAlyah,Jasonchong,RemyIshak,Ezzatyabdullah,Brontpalarae,Primeworks,Primeworksdistribution,PrimeworksStudios"
Q3xQ6Gx_NfI,KAU TAKDIRKU: NONA,2017-09-18 08:08:57,PT3M28S,683,8,0,8,"grand,brilliance,Grandbrilliance,Kautakdirku,Kisahcintayangsatuduniaakhirat,Tv3,Nona,Filemmelayu,filemtragis,Filemcintamelayu,Engkaumilikku,DatinAlyah,Jasonchong,Remyishak,EzzatyAbdullah,Brontpalarae,Primeworks,PrimeworksDistribution,PrimeworksStudios"
LeY-CWJLTuU,KAU TAKDIRKU: MELODI,2017-09-18 08:02:06,PT4M29S,449,1,0,1,"grand,brilliance,Grandbrilliance,Kautakdirku,Kisahcintayangsatuduniaakhirat,Tv3,Melodi,Filemmelayu,Filemtragis,Filemcintamelayu,Engkaumilikku,DatinAlyah,JasonChong,RemyIshak,EzzatyAbdullah,BrontPalarae,Primeworks,Primeworksstudio,Primeworksdistribution"
Q-D2WO7Sr-c,KAU TAKDIRKU: MALAYSIA HARI INI,2017-09-18 07:55:31,PT22M44S,820,4,0,4,"grand,brilliance,Grandbrilliance,Kautakdirku,Kisahcintayangsatuduniaakhirat,Filemtragis,FilemcintaMelayu,Filemmelayu,Engkaumilikku,DatinAlyah,JasonChong,RemyIshak,EzzatyAbdullah,BrontPalarae,Primeworks,Primeworksstudio,PrimeworksDistribution"
jJ7CjEnVU8g,KAU TAKDIRKU: NASI LEMAK KOPI O,2017-09-18 07:55:20,PT7M48S,901,2,0,2,"grand,brilliance,Grandbrilliance,Kautakdirku,Kisahcintayangsatuduniaakhirat,Filemtragis,Filemmelayu,Filemcintamelayu,NasilemakkopiO,tv9,Engkaumilikku,DatinAlyah,JasonChong,RemyIshak,EzzatyAbdullah,BrontPalarae,Primeworks,Primeworksstudio,PrimeworksDistribution"
KGLIhmFjJpY,KAU TAKDIRKU: MALAYSIA HARI INI,2017-09-18 07:30:28,PT18M24S,16783,38,4,42,"grand,brilliance,Grandbrilliance,Kautakdirku,Cintayangsatuduniaakhirat,FilemTragis,FilemMelayu,FilemcintaMelayu,Jasonchong,RemyIshak,EzzatyAbdullah,brontpalarae,Engkaumilikku,Primeworks,Primeworksdistribution,Primeworksstudio"
EYdD2MepNUs,KAUTAKDIRKU: MUZIK MUZIK 32,2017-09-18 07:30:24,PT7M35S,486,8,1,9,"grand,brilliance,Grandbrilliance,Kautakdirku,Cintayangsatuduniaakhirat,Filemtragis,Filemmelayu,Filemcintamelayu,Engkaumilikku,Jasonchong,RemyIshak,EzzatyAbdullah,Brontpalarae,DatinAlyah,Primeworks,Primeworksdistribution,Primeworksstudio"
F07NFuogggs,KAU TAKDIRKU: MALAYSIA HARI INI,2017-09-18 06:50:03,PT9M45S,1310,5,0,5,"grand,brilliance,Grandbrilliance,Kautakdirku,Engkaumilikku,Cintayangsatuduniaakhirat,Filemtragis,Filemmelayu,Filemcintamelayu,RemyIshak,EzzatyAbdullah,BrontPalarae,DatinAlyah,PrimeworksStudio,Primeworksdistribution"
rnJ9y5WXIvg,KAU TAKDIRKU: JOM SINGGAH,2017-09-18 05:23:01,PT7M3S,4973,12,0,12,"kautakdirku,cintayangsatuduniaakhirat,EzzatyAbdullah,Jomsinggah,TV3,JasonChong,Filemcintamelayu,Cintatragis,Filemmelayu,Engkaumilikku,DatinAlyah,RemyIshak,BrontPalarae,GrandBrilliance,Primeworks,Grand,Brilliance,PrimeworksStudios,PrimeworksDistribution"
cS6QAxWyRQA,KAU TAKDIRKU | KINI DIPAWAGAM | 7 SEPTEMBER 2017,2017-09-11 07:05:03,PT31S,3578,8,0,8,"grand,brilliance"
dBhirmf269c,KAU TAKDIRKU | PROMO REMY ISHAK,2017-09-11 04:54:59,PT31S,4391,22,3,25,"grand,brilliance"
wv26P9wZuQE,KAU TAKDIRKU | PROMO EZZATY ABDULLAH,2017-09-11 04:53:08,PT31S,7984,17,1,18,"GRANDBRILLIANCE,REMY ISHAK,ZIZAN RAZAK,BRONT PALARAE"
maFrEWoAHWU,KAU TAKDIRKU | MELODI BERSAMA REMY ISHAK,2017-09-11 04:48:03,PT3M3S,6439,24,0,24,"MELODI,ZIZAN RAZAK,REMY ISHAK,BRONT PALARAE,PANAS,GRANDBRILLIANE"
5RujXgtDZZI,KAU TAKDIRKU | TEAM REMY VS TEAM BRONT,2017-09-10 07:38:14,PT2M51S,5741,12,0,12,"#RemyIshak,#BrontPalarae,#Malaysia,#Instafamous,#Love,#EzzatyAbdullah,#RemyBertunang,#BrontAkhiriZamanBujang,#Neelofa2.0"
